tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,cluster
12908,0,0.166667,0.40625,0.428571,0.666667,0.375,0,n
13150,0,0,0.09375,0.142857,0.333333,0.413462,0.25,y
13359,0,0,0.25,0.214286,0.333333,0.5,0,y
12959,0,0,0.375,0.5,0.666667,0.5,0.5,n
12275,0.25,0,0.1875,0.535714,0.666667,0.586538,0,n
12649,0.25,0,0.3125,0.678571,0.666667,0.711538,0,n
12117,0,0,0.375,0.535714,0.666667,0.894231,0,n
13540,0,0,0.21875,0.357143,0.333333,0.298077,0,y
13756,0,0,0.34375,0.321429,0.666667,0.576923,0,n
13102,0,0,0.15625,0.142857,0.333333,0.673077,0.25,y
10983,0.25,0.333333,0.15625,0.392857,0,0.817308,0,y
11577,0.25,0.5,0.625,0.25,0,0.769231,0,y
13166,0,0,0.09375,0.142857,0.333333,0.192308,0.5,y
11158,0,0,0.21875,0.464286,0.333333,0.384615,0,y
10981,0.25,0.333333,0.1875,0.5,0,0.932692,0,y
12148,0,0,0.21875,0.428571,0.666667,0.817308,0,n
12487,0.25,0,0.40625,0.571429,0.666667,0.759615,0.25,n
12670,0,0,0.3125,0.571429,0.666667,0.692308,0,n
12744,0.25,0,0.28125,0.357143,0.666667,0.759615,0.5,n
12083,0.5,0,0.3125,0.392857,0.333333,0.673077,0,n
11421,0,0,0.1875,0.357143,0.333333,0.221154,0,y
11321,0,0,0.34375,0.392857,0.666667,0.432692,0,n
13511,0,0,0.28125,0.392857,0.666667,0.442308,0,n
13542,0,0,0.1875,0.392857,0.333333,0.740385,0,y
13838,0,0,0.28125,0.178571,0.333333,0.384615,0,y
13306,0,0,0.1875,0.357143,0.333333,0.663462,0.5,y
12419,0.25,0,0.21875,0.75,0.666667,0.788462,0,n
12017,0,0,0.40625,0.464286,0.666667,0.721154,0,n
12046,0.25,0,0.34375,0.714286,0.666667,0.711538,0,n
11261,0,0,0.375,0.392857,0.666667,0.365385,0,n
12021,0.5,0,0.21875,0.464286,0.666667,0.653846,0,n
13315,0,0,0.15625,0.285714,0.333333,0.596154,0.25,y
12540,0.25,0,0.3125,0.357143,0.666667,0.692308,0,n
12192,0.25,0,0.3125,0.571429,0.666667,0.807692,0,n
13629,0,0,0.40625,0.214286,0.333333,0.625,0,y
12333,0,0,0.28125,0.678571,0.666667,0.788462,0.25,n
12204,0.25,0,0.3125,0.357143,0.666667,0.701923,0.25,n
11935,0,0,0.0625,0.214286,0.333333,0.259615,0,y
13484,0,0,0.25,0.321429,0.333333,0.548077,0,y
11598,0,0,0.25,0.464286,0.333333,0.875,0,n
11632,0,0,0.1875,0.535714,0.333333,0.826923,0.25,n
13835,0,0,0.15625,0.214286,0.333333,0.567308,0,y
12245,0.25,0,0.46875,0.428571,0.666667,0.471154,0,n
13759,0,0,0.3125,0.5,0.666667,0.480769,0,n
11520,0,0,0.3125,0.392857,0.333333,0.605769,0,y
12741,0.25,0,0.25,0.428571,0.666667,0.740385,0,n
12972,0.25,0,0.21875,0.25,0.333333,0.730769,0.5,y
13021,0.25,0,0.21875,0.678571,0.333333,0.721154,0.5,n
13868,0,0,0.21875,0.142857,0.333333,0.365385,0,y
13816,0,0,0.3125,0.392857,0.333333,0.798077,0,n
11711,0,0,0.21875,0.178571,0.333333,0.634615,0.25,y
11794,0.25,0,0.25,0.428571,0.666667,0.471154,0,n
12336,0,0,0.1875,0.464286,0.666667,0.826923,0,n
13533,0,0,0.09375,0.571429,0.333333,0.759615,0,n
11030,0.25,0.166667,0.125,0.321429,0,0.634615,0,y
11216,0,0,0.28125,0.464286,0.666667,0.663462,0,n
11534,0,0,0.1875,0.25,0.333333,0.461538,0,y
11209,0.5,0,0.34375,0.607143,0.333333,0.634615,0.25,n
11434,0.25,0,0.15625,0.25,0.333333,0.317308,0,y
13413,0,0,0.25,0.607143,0.333333,0.875,0,n
13384,0,0,0.1875,0.357143,0.333333,0.509615,0.25,y
13487,0.25,0,0.15625,0.357143,0.333333,0.115385,0.25,y
11062,0,0,0.21875,0.25,0.333333,0.490385,0,y
13914,0,0,0.25,0.321429,0.333333,0.375,0,y
12807,0,0,0.1875,0.428571,0.666667,0.490385,0.25,n
13032,0.25,0,0.3125,0.357143,0.333333,0.884615,0.5,n
11028,0,0,0.125,0.357143,0.333333,0.605769,0.25,y
12346,0.25,0,0.375,0.5,0.666667,0.682692,0,n
13798,0,0,0.21875,0.678571,0.666667,0.798077,0,n
11765,0,0,0.28125,0.321429,0.666667,0.5,0,n
11365,0.25,0.166667,0.15625,0.357143,0,0.951923,0,y
12000,0,0,0.4375,0.535714,0.666667,0.490385,0,n
12368,0.25,0,0.3125,0.571429,0.666667,0.807692,0,n
13440,0,0,0.21875,0.285714,0.333333,0.442308,0.25,y
11808,0,0.166667,0.5625,0.535714,0.666667,0.653846,0,n
11437,0,0,0.28125,0.571429,0.666667,0.75,0,n
11752,0,0,0.25,0.392857,0.666667,0.634615,0,n
11411,0,0,0.21875,0.428571,0.333333,0.625,0,y
12642,0.25,0,0.34375,0.535714,0.666667,0.528846,0,n
13657,0,0,0.5,0.785714,0.666667,0.778846,0,n
11748,0,0,0.3125,0.321429,0.666667,0.403846,0,y
11325,0,0,0.375,0.392857,0.666667,0.605769,0,n
13427,0,0,0.53125,0.178571,0.333333,0.461538,0.25,y
13310,0,0,0.15625,0.892857,0.333333,0.817308,0.25,n
13376,0,0,0.21875,0.392857,0.333333,0.701923,0.25,y
13211,0,0,0.09375,0.571429,0.333333,0.769231,0.25,n
12251,0,0,0.21875,0.392857,0.666667,0.586538,0,n
13886,0,0,0.1875,0.285714,0.333333,0.711538,0,y
13210,0,0,0.09375,0.285714,0.333333,0.721154,0,y
11602,0,0,0.40625,0.535714,0.666667,0.605769,0,n
11789,0,0,0.09375,0.321429,0.333333,0.596154,0.25,y
12174,0.25,0,0.5,0.428571,0.666667,0.855769,0,n
10953,0,0,0.21875,0.25,0.333333,0.307692,0,y
12134,0.5,0,0.1875,0.571429,0.333333,0.894231,0,n
11924,0,0,0.125,0.321429,0.333333,0.336538,0,y
12736,0,0,0.21875,0.535714,0.666667,0.826923,0.5,n
11187,0.5,0.166667,0.4375,0.464286,0.333333,0.798077,0,n
11049,0,0,0.1875,0.428571,0.333333,0.326923,0.25,y
11679,0,0,0.15625,0.392857,0.333333,0.817308,0,y
11274,0.25,0,0.34375,0.321429,0.333333,0.923077,0,n
13929,0,0,0.25,0.214286,0.333333,0.326923,0,y
12196,0.25,0,0.375,0.464286,0.666667,0.701923,0,n
11724,0,0,0.09375,0.5,0.333333,0.384615,0,y
11529,0,1,0.3125,0.607143,0.333333,0.923077,0,n
12858,0.25,0,0.25,0.5,0.666667,0.596154,0.25,n
13706,0,0,0.09375,0.535714,0.666667,0.817308,0.25,n
11898,0,0,0.15625,0.285714,0.333333,0.336538,0,y
13915,0,0,0.25,0.285714,0.333333,0.538462,0,y
12231,0.25,0,0.375,0.535714,0.666667,0.846154,0,n
12845,0.25,0,0.34375,0.428571,0.666667,0.894231,0.25,n
12837,0,0,0.1875,0.392857,0.666667,0.826923,0.25,n
12942,0.25,0,0.3125,0.535714,0.666667,0.846154,0,n
12570,0,0,0.28125,0.607143,0.666667,0.653846,0,n
11490,0,0,0.28125,0.428571,0.333333,0.836538,0,n
13461,0,0,0.21875,0.178571,0.333333,0.25,0.5,y
13551,0,0,0.40625,0.428571,0.666667,0.615385,0,n
11710,0,0,0.0625,0.428571,0.333333,0.269231,0,y
12111,0,0,0.28125,0.5,0.666667,0.634615,0,n
11429,0,0,0.09375,0.321429,0.333333,0.442308,0,y
12893,0.5,0,0.15625,0.5,0.333333,0.721154,0,n
12102,0,0,0.21875,0.535714,0.666667,0.807692,0,n
13785,0,0,0.125,0.392857,0.333333,0.855769,0,y
13585,0,0,0.34375,0.678571,0.333333,0.778846,0,n
12820,0,0,0.34375,0.392857,0.666667,0.817308,0,n
12309,0.25,0,0.1875,0.428571,0.666667,0.740385,0.25,n
11013,0,0,0.1875,0.464286,0.333333,0.951923,0,n
13141,0,0,0.78125,0.535714,0.333333,0.865385,0.5,n
12799,0.25,0,0.375,0.571429,0.666667,0.663462,0.25,n
12172,0.25,0,0.25,0.571429,0.666667,0.759615,0,n
11781,0,0.333333,0.53125,0.714286,0.333333,0.605769,0,n
12892,0.25,0,0.21875,0.607143,0.333333,0.75,0,n
11998,0.25,0,0.21875,0.5,0.666667,0.730769,0,n
12587,0,0,0.09375,0.714286,0.666667,0.826923,0,n
12768,0.25,0,0.1875,0.428571,0.666667,0.644231,0.5,n
11103,0,0,0.21875,0.142857,0.333333,0.230769,0,y
12531,0.25,0,0.09375,0.642857,0.666667,0.817308,0,n
11916,0,0,0.21875,0.285714,0.333333,0.298077,0,y
12235,0,0,0.15625,0.321429,0.666667,0.644231,0.5,n
11240,0.25,0.166667,0.46875,0.5,0.666667,0.836538,0,n
11584,0,0,0.1875,0.321429,0.333333,0.240385,0,y
11235,0.25,0,0.46875,0.5,0.666667,0.865385,0,n
11410,0,0,0.1875,0.321429,0.666667,0.596154,0,n
13867,0,0,0.34375,0.535714,0.333333,0.807692,0,n
13685,0,0,0.21875,0.285714,0.333333,0.586538,0,y
11929,0,0,0.25,0.535714,0.333333,0.576923,0,y
11665,0,0,0.28125,0.535714,0.333333,0.692308,0,n
13258,0,0,0.15625,0.25,0.333333,0.384615,0.25,y
12495,0,0,0.34375,0.678571,0.666667,0.711538,0,n
13298,0,0,0.0625,0.285714,0.333333,0.317308,0.25,y
13884,0,0,0.15625,0.142857,0.333333,0.5,0,y
13671,0,0,0.21875,0.357143,0.333333,0.644231,0,y
11795,0,0.166667,0.34375,0.535714,0.666667,0.740385,0,n
12872,0.25,0,0.21875,0.571429,0.666667,0.836538,0.25,n
12998,0.25,0,0.3125,0.321429,0.333333,0.663462,0,y
11699,0,0,0.21875,0.321429,0.666667,0.413462,0,y
12734,0.25,0,0.21875,0.714286,0.666667,0.721154,0,n
12956,0,0,0.28125,0.392857,0.666667,0.846154,0.5,n
13294,0,0,0.46875,0.464286,0.333333,0.538462,0.25,y
12618,0,0,0.53125,0.321429,0.666667,0.634615,0.25,n
12233,0,0,0.34375,0.607143,0.666667,0.932692,0,n
13851,0,0,0.1875,0.142857,0.333333,0.653846,0,y
12084,0,0,0.15625,0.535714,0.666667,0.653846,0.25,n
11778,0,0,0.09375,0.214286,0.333333,0.173077,0,y
11198,0,0,0.34375,0.464286,0.666667,0.778846,0,n
12458,0,0,0.3125,0.571429,0.666667,0.846154,0,n
11910,0,0,0.375,0.178571,0.333333,0.682692,0,y
11278,0.25,0,0.21875,0.25,0,0.798077,0,y
12282,0,0,0.21875,0.392857,0.666667,0.673077,0.25,n
12407,0.75,0,0.34375,0.607143,0.666667,0.740385,0,n
13103,0,0,0.15625,0.285714,0.333333,0.548077,0.5,y
13241,0,0,0.125,0.214286,0.333333,0.615385,0.5,y
12151,0.25,0.166667,0.5,0.821429,0.666667,0.730769,0,n
13890,0,0,0.21875,0.464286,0.333333,0.673077,0.25,y
