tweet_id,text
127,Denuncian que estudiantes de la USB se intoxicaron tras ingerir alimentos del comedor https://t.co/RYLlVpo2Gj https://t.co/FxXPgVWJUZ
128,Las brutales condiciones de vida en las cárceles de Haití (Fotos) https://t.co/Hh3D8sY2BO https://t.co/SOxztefsOd
129,Presidente de Aserca Airlines se reunió con Ministro de Turismo y Transporte de Aruba https://t.co/UGb0SBKGZB https://t.co/hsj1ITsZDR
130,"Zika podría causar abortos o tejido cerebral blando en bebés, según estudio https://t.co/051POpLFlJ https://t.co/4uulr9iRVw"
131,EL CUERPOTE: Serena Williams lo muestra en la Sports Illustrated 2017 https://t.co/y6AAeCBZ3w https://t.co/thkyX7EQCu
132,Copei solicitó a la OEA activación  de la Carta Democrática en Venezuela https://t.co/qhktWDLxht https://t.co/gPgBQbFS71
133,Ecuatorianos denuncian fraude: Sociedad civil captan irregulares con actas abiertas en el CNE (Videos)… https://t.co/EZYqLE0mjk
134,Embajador ruso ante Naciones Unidas muere en Nueva York https://t.co/3Vw5Jbb1fI https://t.co/BZrE93T12A
135,Un “milagro” devolvió  de la muerte a un abuelo de 78 años en Maracaibo https://t.co/fLdE44Pn0J https://t.co/WPjnSzb35F
136,Fiscalía pide se fije la sentencia condenatoria contra los narcosobrinos https://t.co/ZWVAhBC6Ef https://t.co/9BlSI7T2SN
137,#20F Militares se movilizaron frente a sede del CNE en Ecuador (Video + Fotos) https://t.co/ifEVHRNhwv https://t.co/VrsljZJiko
138,Colombia pide a Venezuela datos específicos sobre supuestos migrantes https://t.co/6iAGUfcoJs https://t.co/TYiHeSWG0P
139,Las proteínas huyen del plato zuliano https://t.co/RQKOY8yha8
140,Malasia asegura que nadie reclamó el cuerpo de Kim Jong-Nam https://t.co/LF3ypsgaGl https://t.co/Eng7GfXiVE
141,Caricaturas de este martes 21 de febrero de 2017 https://t.co/eVvrhuhbwm https://t.co/ALATXKbMOc
142,Descubren cuatro ranas que caben en la uña del pulgar https://t.co/NC1J1xhqYj
143,Maduro no supera a Ramos Allup y asegura que “Chúo” Torrealba le “envió una nota” https://t.co/S3xTaN4wkX https://t.co/wAXNbkWnGf
144,Aumentos de salario integral aceleran inflación y cierres de empresas en Zulia https://t.co/Fg1pchyGxF https://t.co/g2ZHUHqN35
145,Casos de escabiosis en Anzoátegui se triplicaron en un año https://t.co/oL7DorooJE https://t.co/ofJR6QgpVA
146,Al revés: Nicolás se cree el músico… cuando en realidad es el chofer del Titanic llamado Venezuela… https://t.co/8gmTGSqMso
147,Correa dice que “hay que contar voto a voto” para saber desenlace  de comicios https://t.co/3hW71qzjg6 https://t.co/Hna9ZoxyxU
148,La “Torre de los Locos” de Viena: el primer psiquiátrico moderno del mundo https://t.co/wx25UtdewB
149,Portadas de este martes 21 de febrero de 2017 https://t.co/CPOYQgYqQp https://t.co/50GXHTMuKJ
150,Viene nueva “movida de mata” en el Psuv (Video) https://t.co/DQzaCpdIqJ https://t.co/MbJ44Z9bll
151,Horror en Argentina: Mató a puñaladas a sus cuatro hijos y a su mujer y luego quemó la casa https://t.co/JttlcgUH6T
152,Tendencias astrológicas de la semana del 18 al 24 de febrero de 2017 (Video) https://t.co/KDDFLg5XDR
153,Emigrar por tierra: Cuando se alza vuelo en 4 ruedas https://t.co/mFvwXuPVKM
154,Estos son los nuevos costos de trámites legales tras aumento de la Unidad Tributaria https://t.co/wxscguseLE https://t.co/neQ11dISnX
155,"Valentina Sampaio, orgullosa de ser emblema del movimiento transexual https://t.co/HPgEPvk5Ev"
156,El nuevo novio de Mariah Carey es 13 años menor https://t.co/CEFHj13YTy https://t.co/7JwSqMpGBR
157,Entérate de la nueva rivalidad entre Sheryl Rubio y Corina Smith https://t.co/zJTxyYBaYV
158,Paris Hilton celebra sus 36 años desnudándose (Fotos) https://t.co/e085NHNYpZ
159,Esta animadora de Televen estrena nuevo galán https://t.co/a7FrBkdKmC
160,¡Conócela! Aquí las fotos más sexys de la nueva novia de Marc anthony https://t.co/QXvXa4RVxD
161,Brasil enfrenta su peor sequía en un siglo https://t.co/Snpmpfm5if
162,Falla eléctrica en Tacoa causó apagón en aeropuerto de Maiquetía https://t.co/4WPHk61Biy
163,¿Cómo diferenciar la yuca amarga de la dulce? https://t.co/Tt9wDdTV9C https://t.co/pH8KsNTaiT
164,"Concejal González: A pesar de las maniobras de Maduro y su combo, nosotros legitimaremos los partidos https://t.co/Hn8GhicPC6"
165,Amenaza de muerte a su maestra para que lo apruebe en un examen https://t.co/NT5GcPq3d6
166,Reportan incendio en El Ávila https://t.co/BlwFtq4T9X
167,Maduro asegura que “Chúo” Torrealba le “envió una nota” https://t.co/S3xTaN4wkX
168,La larga y accidentada despedida del billete de 100 bolívares https://t.co/sS30SEjFjh
169,Las reveladoras fotos de la esposa de James Rodríguez que no podrás dejar de ver https://t.co/yCXOGeEzoA
170,Descubren cuatro ranas que caben en la uña del pulgar https://t.co/NC1J1xhqYj
171,Al revés: Nicolás se cree el músico… cuando en realidad es el chofer del Titanic llamado Venezuela https://t.co/wseAwNZm4D
172,Malasia asegura que nadie reclamó el cuerpo de Kim Jong-Nam https://t.co/LF3ypsgaGl
173,Un “milagro” devolvió  de la muerte a un abuelo de 78 años en Maracaibo https://t.co/fLdE44Pn0J
174,Conoce a las 20 estrellas que sorprendentemente todavía no tienen un Oscar https://t.co/BEDzLU6Six
175,EL CUERPOTE: Serena Williams lo muestra en la Sports Illustrated 2017 https://t.co/y6AAeCBZ3w https://t.co/tRzEJEotrg
176,Muere niño por picadura de escorpión en Mérida https://t.co/y1cROhOBST
177,¡Asco! Angelina Jolie come arañas con sus hijos (Fotos) https://t.co/mAdE24rhgQ
178,Empresarios de Ecuador piden al CNE agilizar escrutinio y anuncio de resultados https://t.co/TToLmAm9Sg https://t.co/j7OTujiLjM
179,CNN invita a seguir su cuenta en Twitter sobre Venezuela https://t.co/4YBPPAK2zu
180,Las 20 estrellas que sorprendentemente todavía no tienen un Oscar https://t.co/BEDzLU6Six
181,Pdvsa efectuó el pago de intereses de bonos del último semestre con vencimiento en 2022     https://t.co/xoVNjsHz3a
182,Trump designa al teniente general McMaster como nuevo asesor presidencial https://t.co/x3s3geEs2C
183,La falsa lucha por la soberanía alimentaria parte III: ¿Cuánto pagan los venezolanos por comida vencida? https://t.co/er3IcWwABo
184,A punta de pistola y sin creer en nadie robaron a personas en el Big Low de Valencia (Video + Patria bonita) https://t.co/qkBfxe364c
185,Gran Alianza Nacional informa al mundo que Maduro no es presidente https://t.co/XUI7RgUFhr
186,Más de 182.000 funcionarios resguardarán a temporadistas durante Carnaval 2017 https://t.co/aweSEAuMQK
187,¿Cómo diferenciar la yuca amarga de la dulce? https://t.co/Tt9wDdTV9C
188,Pran “Wilmito” estaba libre desde diciembre tras recibir beneficio https://t.co/GIQYwt76hA
189,Gustavo Coronel: Diálogo e Intervención: los dos polos de un país sin Ecuador https://t.co/ac6QjbM4Ua
190,Carlos Tablante: Lilian y Mitzy https://t.co/mDNar4XKsJ
191,¡Mata pasión! Cada vez que esta chica tiene relaciones se desmaya https://t.co/iQnqqcoAAK
192,Denuncian casos autóctonos de malaria en Nueva Esparta https://t.co/wNQLUKFylM
193,Candidato opositor ecuatoriano: Huele mal eso ¿Cómo se van a demorar tres días por un 12%? https://t.co/ptw5rxFdI7
194,La “sentada” que le  dio  @MariaCorinaYa a  este periodista chavista (Video + DTB) https://t.co/mduMZaVKAC https://t.co/jEVp3GUvlT
195,Observador internacional Winston Flores denuncia irregularidades en elecciones de Ecuador https://t.co/LRqpCU3awg
196,Vicente Bello: CNE anunciará esta semana cambios al proceso de renovación de partidos https://t.co/mLWt6zXFsA
197,¡Insólito! 50.000 años de soledad: Despiertan microbios prehistóricos en cuevas de México https://t.co/kVbJcVEfQR
198,Asaltaron transporte escolar en Machiques con los niños a bordo https://t.co/beQv6W1aU0
199,Estudiantes de medicina de la UCV se alistan con StopVIH para servicio comunitario https://t.co/xYoacgc1OZ
200,Científicos explican por qué el desamor duele tanto https://t.co/HP8sSahrbh
201,Ex presidente regional de Copei se incorporó a Voluntad Popular https://t.co/X2eiLwwi0W
202,PJ Juventud San Francisco: Con 108 mil Bs de Bonos de Alimentación no frenamos el hambre https://t.co/caTOBSlZRO
203,EEUU da hasta fin de año para que los aliados de la Otan hagan “progresos reales” en su contribución financiera https://t.co/IOjMhEaV5o
204,Iris Varela dice que busca transformar a los presos en defensores de la patria https://t.co/lWXb31UJEo
205,Santos dice que con FARC se harán sustituciones reales de cultivos ilícitos https://t.co/7EP6h1pFWL
206,Bancos deberán destinar un 20% de sus créditos para préstamos de vivienda https://t.co/k9YfIf0IBx
207,"Guerrilla ELN, principal sospechoso de explosión en Bogotá https://t.co/Bf6yQESIgx"
208,Cuáles son los mejores celulares que se presentarán en el Congreso Mundial de Móviles https://t.co/bAM3R5sxYL
209,Miranda ofrece múltiples opciones recreativas en estos Carnavales 2017 https://t.co/2Na5Vi0aZU
210,Estudiantes venezolanos ganan premios en Modelo de las Naciones Unidas https://t.co/mYS2jf859w
211,NOS: TSJ y CNE castran la democracia al intentar erradicar a los partidos políticos https://t.co/GEoFWzUNCc
212,Resultado de elección presidencial en Ecuador tardará tres días en conocerse https://t.co/eb3EIhCnZT
213,Florido rechaza las descalificaciones de Maduro y lo acusa de ser cómplice de narcotráfico https://t.co/e9uRUFA1lk
214,Capriles: El ticket de alimentación no es salario https://t.co/3ScAUdVLlt
215,¡Pa’ lo que quedó! El ministro de comunicación ahora promociona telenovelas (Video) https://t.co/tVn4Npoy9C
216,Voluntad Popular apoya petición de López para realizar consulta popular y convocar adelanto de elecciones https://t.co/B5fGO6QYsd
217,Trucos para lucir espectacular sin usar maquillaje https://t.co/2wNw4FE8xi
218,.@Eudorogonzalez: Recibimos apoyo unánime de cuatro países para que parlamentarios sigamos en Parlasur https://t.co/wbt2E3db11
219,Muere un surfista atacado por un tiburón en la isla francesa de La Reunión https://t.co/3URCUJcRA7
220,Desarrollan en EEUU vacuna efectiva contra diferentes cepas de malaria https://t.co/Vxq0NyQcum
221,Diez plantas medicinales que te alejarán de los fármacos https://t.co/YzAaV5nQm0
222,Mira cómo nos engaña Facebook y nos sentimos felices https://t.co/zC9Auw3Jse
223,"¡A lo romano! “Penes Voladores” que curan enfermedades, molestias o dolores https://t.co/OBrkq67fyz"
224,Angelina Jolie llora al hablar de su divorcio (video) https://t.co/O8MeBkPZ7S
225,"La presunta “Operación Imperial Comunicacional” en la que, según VTV, participa Ravell (Foto + Mano peluda) https://t.co/0Y8ULftRV3"
226,EEUU prepara instrucciones para acelerar deportaciones https://t.co/wZyD2qDDxu
227,La Nasa anunciará un descubrimiento más allá del sistema solar https://t.co/pEqeoIDqZo
228,Venezuela pasó a ser más pobre que Haití https://t.co/yavTrUg57K
229,Largas colas para cruzar la frontera por controles migratorios de Colombia https://t.co/KBGfEANYcV
230,Hieren de un balazo al asistente del diputado @angelalvarezgil https://t.co/UQqzI8NUZP
231,Esquiador venezolano viaja a torneo en Finlandia tras ser deportado de Francia https://t.co/w7Is8ke7Fv
232,¡Insólito! Abuelo de 78 años revivió en pasillo del Hospital Universitario de Maracaibo https://t.co/hymLgC82SS
233,"Según Stratfor, El Aissami estuvo en Cuba este fin de semana https://t.co/uAg3vrN5v7"
234,Robert Alvarado: El cinismo y las mentiras del Gobernador de Yaracuy mantienen preso a Kamel Salame https://t.co/QS9sL4Pbap
235,Mira el mosaico que le hicieron a Leopoldo López en plena autopista Francisco Fajardo (Foto y Video)     https://t.co/aDDcQ4Qgxe
236,"“Desde hace casi cuatro años no he podido tocar a mi hijo”, dice padre de Héctor Rovaín https://t.co/XeXoassrpn"
237,"Caiga quien Caiga: Seguimos denunciando caso de tren que no tiene durmiente, por Ángel Monagas https://t.co/s7kebzGEHO"
238,Maduro dice que estrategia chavista para ganar elecciones “se agotó” https://t.co/lCMOBj7LTA
239,Se estrella avioneta con cinco pasajeros en centro comercial de Melbourne https://t.co/GDZZBleft0
240,Maduro encabeza la “encerrona” número 5482285 (…) con Zapatero en Miraflores (Video) https://t.co/wSlEPLykno
241,La “sentada” que le dio María Corina a este periodista chavista (Video + DTB) https://t.co/dK4KczFaZ7
242,Rafael Correa tiene pensado salir del país con su familia el 23 de febrero (DOCUMENTO) https://t.co/5AqyGvoZvk
243,¡Bravo por la FFAA de Ecuador! “No somos actores políticos” (comunicado) https://t.co/LfumMcQdWi
244,El Aissami presentará demanda tras acusaciones del Departamento del Tesoro de EEUU https://t.co/DMfOf1lTeH
245,Por “sobrado” recibió un tremendo KO que lo dejó sin título y “viendo por un pitillo” (+video) https://t.co/JAUawZsjgo
246,La suntuosa vida de los Trump es la pesadilla del Servicio Secreto https://t.co/hgaZCsAjYD
247,Las palabras de Juan Manaure a Maduro por la muerte de su hijo https://t.co/yHXb6dTP73
