id,workspace_id,user_id,twitter_id,text,source,retweet,geo,longitude,latitude,place_type,place_name,place_country_code,place_country,favorite_count,retweet_count,sentiment,possibly_sensitive,lang,posted_at,updated_at,created_at
14074,4,13,840085813467713536,El estreno de la temporada 7 de 'Game of Thrones' ya tiene fecha https://t.co/n0ygxUJnVN,TweetDeck,false,false,,,,,,,91,62,,false,es,2017-03-10 06:24:00 +0000,2017-03-11 13:43:22 +0000,2017-03-11 13:43:22 +0000
13958,4,13,840509858810089475,Un pasajero causó el desvío de un avión... luego de que le cobraran 12 dólares por una cobija https://t.co/gJSPhg6jnl,TweetDeck,false,false,,,,,,,49,38,,false,es,2017-03-11 10:29:00 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:20 +0000
10963,4,13,834240281641902080,"#EcuadorVoto2017 Escrutado: 97,3% Lenín Moreno: 39,32% Guillermo Lasso 28,23% https://t.co/Ef4PG4zy8X",TweetDeck,false,false,,,,,,,150,247,,false,es,2017-02-22 03:15:57 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10964,4,13,834241534824501248,Los Cuates de Sinaloa relatan cómo es tocar en fiestas de narcoshttps://t.co/PXTuMxxwUi @camilocnn,TweetDeck,false,false,,,,,,,93,56,,false,es,2017-02-22 03:20:56 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10962,4,13,834241362505641985,RT @CNNVenezuela: Así aumentó la desnutrición en #Venezuela con la escasez de alimentos. Informe de @osmarycnn  https://t.co/lCMVR5SQw9,TweetDeck,true,false,,,,,,,0,275,,false,es,2017-02-22 03:20:14 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
13954,4,13,840494254615076864,¿Le queda algún amigo al solitario Corea del Norte? https://t.co/SvE30MFeqL https://t.co/4ey2T1xLqm,TweetDeck,false,false,,,,,,,25,13,,false,es,2017-03-11 09:27:00 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:20 +0000
10965,4,13,834239480664096768,📺  @edu_bonilla: No hay ninguna confusión: hay segunda vuelta | @soyfdelrincon #concluVOTOEC,TweetDeck,false,false,,,,,,,190,266,,false,es,2017-02-22 03:12:46 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10967,4,13,834238828550451200,RT @cnneeradio: Ronda Deportiva: el Atlético de Madrid da un paso fundamental y más de la Liga de Campeones https://t.co/YPaa1nHIlr Vía @lg…,TweetDeck,true,false,,,,,,,0,9,,false,es,2017-02-22 03:10:10 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
13960,4,13,840482207173115904,A 13 años del 11-M: España recuerda los peores atentados de su historia https://t.co/6Yt33Zv98e https://t.co/dArEUdOWfR,TweetDeck,false,false,,,,,,,32,54,,false,es,2017-03-11 08:39:08 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:21 +0000
10968,4,13,834237642338336768,"RT @CNNVenezuela: Si estás en Venezuela, mira #ConclusionesCNN con @soyfdelrincon en vivo aquí: https://t.co/xwbwWVvOWg https://t.co/JzBrQF…",TweetDeck,true,false,,,,,,,0,225,,false,es,2017-02-22 03:05:27 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
13959,4,13,840479658093211650,#PorSiNoLoViste La historia detrás de la entrevista viral más graciosa del año https://t.co/LID6wunjJH https://t.co/vhrv1diTKU,TweetDeck,false,false,,,,,,,60,33,,false,es,2017-03-11 08:29:00 +0000,2017-03-11 13:43:21 +0000,2017-03-11 13:43:21 +0000
10969,4,13,834234808184225792,Los mejores cruceros para el 2017 https://t.co/372WVNbp3C https://t.co/rtzhm4UEvm,TweetDeck,false,false,,,,,,,114,65,,false,es,2017-02-22 02:54:12 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10966,4,13,834240006977945600,📺  @Edu_Bonilla: Dos de cada tres ecuatorianos votó en contra del continuismo | @soyfdelrincon #concluVOTOEC,TweetDeck,false,false,,,,,,,164,206,,false,es,2017-02-22 03:14:51 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
